id,topic,difficulty,question,choice_a,choice_b,choice_c,choice_d,correct,explanation
1,"JVM Internals",hard,"What is the primary purpose of dividing the JVM heap into Young Generation and Old Generation?","To optimize garbage collection based on object lifespan patterns","To separate static and instance variables","To allow multithreaded access to different memory regions","To reduce the total heap size needed by the JVM",A,"The generational hypothesis states that most objects die young. By separating short-lived objects (Young Gen with minor GC) from long-lived objects (Old Gen with major GC), the JVM can use efficient copying collectors for the majority of garbage while only occasionally running expensive full GC cycles."
2,"JVM Internals",hard,"When should you choose ZGC over G1GC?","When you need the fastest possible throughput on small heaps","When you need sub-millisecond GC pauses regardless of heap size","When running on 32-bit JVMs with limited memory","When your application creates very few objects",B,"ZGC is a low-latency collector designed for sub-millisecond pauses regardless of heap size, using colored pointers and load barriers. G1GC targets pause time goals but can still have multi-millisecond pauses. Choose ZGC for ultra-low latency requirements with large heaps (multi-GB to TB)."
3,"JVM Internals",expert,"In HotSpot's tiered compilation, what is the role of the C2 compiler?","It compiles all methods immediately at startup for fast boot time","It interprets bytecode without any optimization","It applies aggressive optimizations like inlining and escape analysis for hot methods","It only compiles native methods called via JNI",C,"C2 (server compiler) applies aggressive optimizations including inlining, escape analysis, loop unrolling, and dead code elimination for heavily-used (hot) methods. Tiered compilation uses C1 first for quick startup, then promotes to C2 for maximum performance on hot paths."
4,"JVM Internals",hard,"What optimization does the JVM perform when escape analysis determines an object does NOT escape a method?","It moves the object to the Old Generation immediately","It increases the object's reference count","It may allocate the object on the stack instead of the heap (scalar replacement)","It marks the object as immutable",C,"When an object doesn't escape, the JVM can perform: scalar replacement (fields placed on stack instead of heap), lock elision (removing synchronized blocks for thread-local objects), and stack allocation. This significantly reduces GC pressure for short-lived objects."
5,"JVM Internals",medium,"In the class loader delegation model, what happens when a class loader is asked to load a class?","It immediately loads the class from its own classpath","It delegates to its parent first; only loads itself if the parent fails","It searches all class loaders simultaneously in parallel","It loads the class and then notifies parent loaders",B,"The parent-first delegation model: when asked to load a class, a loader first delegates to its parent. Only if the parent cannot find it does the child attempt to load it. This ensures core Java classes (java.lang.*) are always loaded by the trusted Bootstrap classloader, preventing conflicts."
6,"JVM Internals",expert,"What is a common cause of Metaspace memory leaks in application servers?","Creating too many String objects","Classloaders that cannot be garbage collected due to retained references after hot-redeploy","Using primitive arrays instead of wrapper classes","Having too many methods in a single class",B,"Metaspace stores class metadata. Leaks occur when classloaders can't be GC'd — often in app servers with hot-redeploy where old classloaders are retained by references (e.g., ThreadLocal, static fields, JDBC drivers). Frameworks generating dynamic proxy classes (CGLIB) can also contribute."
7,"Concurrency",hard,"Which of the following is NOT a happens-before rule in the Java Memory Model?","Monitor unlock happens-before subsequent lock on the same monitor","Volatile write happens-before subsequent volatile read of the same variable","Thread.start() happens-before any action in the started thread","Object allocation happens-before any access in any thread",D,"Object allocation on its own does not establish a happens-before relationship with accesses in other threads. You need explicit synchronization (volatile, locks, Thread.start, etc.) to ensure visibility across threads. Without it, other threads may see partially constructed objects."
8,"Concurrency",hard,"Why is volatile NOT sufficient for implementing a thread-safe counter (i++)?","Volatile variables cannot store integers","Volatile only works with final fields","Volatile ensures visibility but not atomicity of compound operations like read-modify-write","Volatile forces all threads to stop before reading",C,"Volatile guarantees visibility (changes immediately visible to other threads) and prevents reordering, but i++ is a compound read-modify-write operation (read i, add 1, write i). Two threads can read the same value simultaneously. Use AtomicInteger with CAS-based incrementAndGet() for thread-safe counters."
9,"Concurrency",expert,"In AQS (AbstractQueuedSynchronizer), what does the volatile int 'state' represent in a ReentrantLock?","The number of threads waiting in the queue","The hold count (0 = unlocked, >0 = locked with reentrant count)","The priority of the lock holder","The timestamp of when the lock was acquired",B,"In ReentrantLock, AQS state represents the hold count: 0 means unlocked, >0 means locked with that reentrant count. For Semaphore, state means available permits. For CountDownLatch, state is the count. AQS provides the framework; subclasses define what state means for their synchronization semantics."
10,"Concurrency",hard,"Which of the following is NOT required for a deadlock to occur?","Mutual exclusion","Hold-and-wait","Circular wait","Thread priority inversion",D,"Deadlock requires all four Coffman conditions: mutual exclusion, hold-and-wait, no preemption, and circular wait. Priority inversion is a different concurrency problem where a high-priority thread waits for a low-priority thread holding a needed resource, but it doesn't cause deadlock on its own."
11,"Concurrency",medium,"What advantage does StampedLock offer over ReentrantReadWriteLock for read-heavy workloads?","It allows multiple writers simultaneously","It supports optimistic reads that don't block writers","It automatically upgrades read locks to write locks","It uses less memory per lock instance",B,"StampedLock offers optimistic read locking: readers get a stamp without blocking, then validate the stamp after reading. If no writer intervened, the read succeeds with zero contention. This gives higher throughput than ReadWriteLock where readers still acquire shared locks that can starve writers."
12,"Concurrency",hard,"What is the key advantage of CompletableFuture over plain Future?","CompletableFuture uses less memory","CompletableFuture supports non-blocking composition and chaining of async operations","CompletableFuture is always faster","CompletableFuture does not require a thread pool",B,"Future only supports blocking get(). CompletableFuture supports non-blocking composition: thenApply, thenCompose, thenCombine for chaining, exceptionally/handle for error handling, and allOf/anyOf for combining multiple futures — all without blocking the calling thread."
